energy[keV],transmission,transmission_lb,transmission_ub
5.90000,6.75807e-06,3.72661e-06,1.22555e-05
6.00000,1.19550e-05,6.78307e-06,2.10703e-05
6.10000,2.02379e-05,1.17889e-05,3.47422e-05
6.20000,3.33268e-05,1.99037e-05,5.58025e-05
6.30000,5.31671e-05,3.25032e-05,8.69683e-05
6.40000,8.23894e-05,5.14832e-05,0.000131849
6.50000,0.000124864,7.96637e-05,0.000195712
6.60000,0.000183842,0.000119582,0.000282633
6.70000,0.000266405,0.000176530,0.000402036
6.80000,0.000375541,0.000253157,0.000557089
6.90000,0.000523247,0.000358627,0.000763435
7.00000,0.000710786,0.000494682,0.00102130
7.10000,0.000956662,0.000675767,0.00135432
7.20000,0.00125886,0.000901523,0.00175784
7.30000,0.00164326,0.00119259,0.00226423
7.40000,0.00210390,0.00154588,0.00286335
7.50000,0.00267267,0.00198743,0.00359417
7.60000,0.00334165,0.00251281,0.00444389
7.70000,0.00414324,0.00314926,0.00545097
7.80000,0.00507445,0.00389636,0.00660876
7.90000,0.00615635,0.00477298,0.00794067
8.00000,0.00740517,0.00579445,0.00946365
8.10000,0.00881017,0.00695399,0.0111618
8.20000,0.0104316,0.00830366,0.0131049
8.30000,0.0122084,0.00979476,0.0152169
8.40000,0.0142400,0.0115129,0.0176130
8.50000,0.0164545,0.0133998,0.0202056
8.60000,0.0188993,0.0154977,0.0230474
8.70000,0.0215933,0.0178252,0.0261579
8.80000,0.0244586,0.0203167,0.0294449
8.90000,0.0276660,0.0231230,0.0331016
9.00000,0.0310495,0.0261010,0.0369362
9.10000,0.0346901,0.0293235,0.0410388
9.20000,0.0386149,0.0328165,0.0454378
9.30000,0.0427000,0.0364711,0.0499927
9.40000,0.0471380,0.0404613,0.0549165
9.50000,0.0517710,0.0446468,0.0600319
9.60000,0.0565784,0.0490098,0.0653158
9.70000,0.0617646,0.0537374,0.0709909
9.80000,0.0670767,0.0586004,0.0767791
9.90000,0.0726128,0.0636889,0.0827870
10.0000,0.0784600,0.0690846,0.0891079
10.1000,0.0844024,0.0745886,0.0955074
10.2000,0.0906031,0.0803527,0.102161
10.3000,0.0970556,0.0863718,0.109061
10.4000,0.103570,0.0924690,0.116004
10.5000,0.110348,0.0988332,0.123204
10.6000,0.117333,0.105412,0.130601
10.7000,0.124345,0.112036,0.138006
10.8000,0.131595,0.118906,0.145639
10.9000,0.139039,0.125977,0.153454
11.0000,0.146476,0.133063,0.161242
11.1000,0.154086,0.140330,0.169190
11.2000,0.161913,0.147825,0.177345
11.3000,0.169704,0.155302,0.185442
11.4000,0.177554,0.162854,0.193582
11.5000,0.185692,0.170700,0.202001
11.6000,0.193763,0.178499,0.210333
11.7000,0.201762,0.186243,0.218573
11.8000,0.210115,0.194348,0.227161
11.9000,0.218402,0.202404,0.235664
12.0000,0.226591,0.210380,0.244051
12.1000,0.234940,0.218526,0.252586
12.2000,0.243381,0.226778,0.261200
12.3000,0.251703,0.234927,0.269677
12.4000,0.259937,0.243003,0.278051
12.5000,0.268475,0.251390,0.286720
12.6000,0.276873,0.259654,0.295235
