FERMI GBM data for time interval: 17-Apr-2024 21:50:03.141 to 17-Apr-2024 22:28:10.988
Current time: 18-Jul-2024 16:39:49.00
Data units: Flux
Energies are binned into spex_eband bins(3 bins)

     Time at center of bin      5.00-10.0      10.0-20.0      20.0-30.0
                                      kev            kev            kev

  17-Apr-2024 22:12:10.266         6.2414         1.5544        0.17109
  17-Apr-2024 22:12:14.362         5.9986         1.4979        0.17739
  17-Apr-2024 22:12:18.458         5.8396         1.4414        0.16932
  17-Apr-2024 22:12:22.554         5.7774         1.3880        0.15979
  17-Apr-2024 22:12:26.650         5.5063         1.3520        0.16244
  17-Apr-2024 22:12:30.746         5.3245         1.2932        0.16690
  17-Apr-2024 22:12:34.842         5.2347         1.2993        0.17198
  17-Apr-2024 22:12:38.939         5.1265         1.2443        0.16737
  17-Apr-2024 22:12:43.035         4.9755         1.2156        0.16261
  17-Apr-2024 22:12:47.131         4.8106         1.1928        0.16310
  17-Apr-2024 22:12:51.227         4.7356         1.1287        0.16650
  17-Apr-2024 22:12:55.323         4.5959         1.0949        0.17188
  17-Apr-2024 22:12:59.419         4.4344         1.1046        0.17312
  17-Apr-2024 22:13:03.515         4.3069         1.0526        0.16727
  17-Apr-2024 22:13:07.611         4.2570         1.0496        0.16670
  17-Apr-2024 22:13:11.707         4.1695         1.0057        0.16738
  17-Apr-2024 22:13:15.803         3.9994        0.97149        0.16334
  17-Apr-2024 22:13:19.899         4.0009         1.0010        0.15990
  17-Apr-2024 22:13:23.995         3.8983        0.97285        0.16457
  17-Apr-2024 22:13:28.091         3.6967        0.93696        0.17501
  17-Apr-2024 22:13:32.187         3.6790        0.91117        0.17264
  17-Apr-2024 22:13:36.283         3.5372        0.87913        0.17477
  17-Apr-2024 22:13:40.380         3.4968        0.88828        0.16968
  17-Apr-2024 22:13:44.476         3.4198        0.88225        0.16839
  17-Apr-2024 22:13:48.572         3.3402        0.85313        0.17724
  17-Apr-2024 22:13:52.668         3.2475        0.85733        0.16943
  17-Apr-2024 22:13:56.764         3.2605        0.83604        0.16238
  17-Apr-2024 22:14:00.860         3.1449        0.81666        0.16939
  17-Apr-2024 22:14:04.956         3.1024        0.78695        0.16611
  17-Apr-2024 22:14:09.052         2.9723        0.80054        0.16372
  17-Apr-2024 22:14:13.148         2.9597        0.78469        0.16370
  17-Apr-2024 22:14:17.244         2.9731        0.76833        0.16949
  17-Apr-2024 22:14:21.340         2.8930        0.74612        0.17940
  17-Apr-2024 22:14:25.436         2.7685        0.75995        0.16997
  17-Apr-2024 22:14:29.532         2.7733        0.74535        0.17322
  17-Apr-2024 22:14:33.628         2.7018        0.77437        0.17720
  17-Apr-2024 22:14:37.724         2.6625        0.71993        0.16613
  17-Apr-2024 22:14:41.821         2.7052        0.72136        0.17048
  17-Apr-2024 22:14:45.917         2.5601        0.73812        0.18041
  17-Apr-2024 22:14:50.013         2.5292        0.70330        0.17623
  17-Apr-2024 22:14:54.109         2.4563        0.69669        0.18270
  17-Apr-2024 22:14:58.205         2.3272        0.67160        0.16856
  17-Apr-2024 22:15:02.301         2.3648        0.64244        0.16874
  17-Apr-2024 22:15:06.397         2.3416        0.64002        0.15357
  17-Apr-2024 22:15:10.493         2.2120        0.63058        0.16272
  17-Apr-2024 22:15:14.589         2.2206        0.63301        0.17320
  17-Apr-2024 22:15:18.685         2.1927        0.60993        0.17843
  17-Apr-2024 22:15:22.781         2.1280        0.59558        0.17189
  17-Apr-2024 22:15:26.877         2.0767        0.59791        0.16106
  17-Apr-2024 22:15:30.973         2.1183        0.58417        0.16720
  17-Apr-2024 22:15:35.069         1.9453        0.56208        0.15758
  17-Apr-2024 22:15:39.165         1.9814        0.55516        0.15739
  17-Apr-2024 22:15:43.262         1.8947        0.55216        0.15125
  17-Apr-2024 22:15:47.358         1.9219        0.53589        0.16100
  17-Apr-2024 22:15:51.454         1.8621        0.54589        0.15865
  17-Apr-2024 22:15:55.550         1.8242        0.55869        0.16910
  17-Apr-2024 22:15:59.646         1.7566        0.55638        0.16582
  17-Apr-2024 22:16:03.742         1.8263        0.54862        0.17072
  17-Apr-2024 22:16:07.838         1.8499        0.52829        0.16331
  17-Apr-2024 22:16:11.934         1.7536        0.54105        0.16835
  17-Apr-2024 22:16:16.030         1.7280        0.52156        0.16420
  17-Apr-2024 22:16:20.126         1.7588        0.51641        0.16275
  17-Apr-2024 22:16:24.222         1.7039        0.50494        0.16723
  17-Apr-2024 22:16:28.318         1.6528        0.48793        0.16216
  17-Apr-2024 22:16:32.414         1.6256        0.50528        0.16361
  17-Apr-2024 22:16:36.510         1.5506        0.48666        0.16033
  17-Apr-2024 22:16:40.606         1.5954        0.49065        0.15692
  17-Apr-2024 22:16:44.703         1.5414        0.48314        0.16250
  17-Apr-2024 22:16:48.799         1.4583        0.47363        0.16247
  17-Apr-2024 22:16:52.895         1.4928        0.45597        0.16483
  17-Apr-2024 22:16:56.991         1.4895        0.46593        0.16174
  17-Apr-2024 22:17:01.087         1.4277        0.45964        0.16156
  17-Apr-2024 22:17:05.183         1.4122        0.45449        0.17920
  17-Apr-2024 22:17:09.279         1.4315        0.44798        0.16010
  17-Apr-2024 22:17:13.375         1.3773        0.46254        0.16551
  17-Apr-2024 22:17:17.471         1.3601        0.44818        0.16299
  17-Apr-2024 22:17:21.567         1.3900        0.44538        0.16153
  17-Apr-2024 22:17:25.663         1.3514        0.44887        0.15503
  17-Apr-2024 22:17:29.759         1.3789        0.43417        0.16819
  17-Apr-2024 22:17:33.855         1.2870        0.41935        0.15754
  17-Apr-2024 22:17:37.951         1.2500        0.46008        0.16133
  17-Apr-2024 22:17:42.048         1.2301        0.42681        0.16761
  17-Apr-2024 22:17:46.144         1.2366        0.42973        0.16526
  17-Apr-2024 22:17:50.240         1.1575        0.41041        0.16434
  17-Apr-2024 22:17:54.336         1.1999        0.40610        0.16903
  17-Apr-2024 22:17:58.432         1.1589        0.41516        0.15823
