,EPDL97 Energy [keV],S08 EPDL97 EA [cm^2],S09 EPDL97 EA [cm^2],S10 EPDL97 EA [cm^2],S08+S09+S10 EA [cm^2]
128,5.87375,1.8466719927597535,1.706809615041114,1.5211590730515638,5.074640680852431
129,5.91182,1.8431575236346232,1.7038293735159205,1.518929119551402,5.065916016701946
130,5.9498999999999995,1.8396019071437029,1.7008161403871267,1.5166706500218263,5.057088697552656
131,5.987979999999999,1.8360511315193462,1.6978073061388135,1.5144178836981335,5.048276321356293
132,6.026050000000001,1.8325100376281167,1.6948050702112196,1.5121708205803235,5.03948592841966
133,6.0641300000000005,1.8289713641701688,1.6918072331641063,1.5099275595997683,5.030706156934044
134,6.1022,1.825442372445348,1.6888159944377128,1.5076900018250963,5.021948368708157
135,6.14028,1.8219182215870906,1.685831354032039,1.5054581472563067,5.013207722875436
136,6.17836,1.8184037524619607,1.6828511125068457,1.5032300948247725,5.0044849597935785
137,6.21643,1.814894124203394,1.679877469302372,1.501007745599121,4.995779339104887
138,6.25451,1.811389336811391,1.6769104244186186,1.4987910995793525,4.987090860809362
139,6.292590000000001,1.807894231152515,1.6739499778555849,1.4965801567654664,4.9784243657735665
140,6.33066,1.8044063867934843,1.6709961296132712,1.4943730160888358,4.969775532495591
141,6.36874,1.8009233833010172,1.6680466802514375,1.4921734796867152,4.96114354323917
142,6.40681,1.7973605055102517,1.6650268488019242,1.489913109088512,4.952300463400688
143,6.44489,1.7933087001965686,1.6615737276251317,1.4872991397255773,4.942181567547277
144,6.48297,1.7892568948828858,1.658120606448339,1.4846851703626425,4.932062671693867
145,6.52104,1.7852050895692024,1.6546674852715466,1.4820712009997077,4.9219437758404565
146,6.55912,1.7811557046888011,1.6512165635349938,1.4794591327054003,4.911831400929195
147,6.597189999999999,1.7771087402416814,1.6477656417984414,1.4768470644110931,4.901721446451216
148,6.63527,1.7730617757945621,1.644316919502129,1.474234996116786,4.891613691413477
149,6.67335,1.7690148113474427,1.6408681972058163,1.4716248288911065,4.8815078374443654
150,6.71142,1.7649412221342236,1.6373930816266238,1.4689937499105234,4.871328053671371
151,6.7495,1.760860371621159,1.6339157666071913,1.4663588687926852,4.861135007021035
152,6.78758,1.7567843619746584,1.6304384515877588,1.4637258887434745,4.8509487023058915
153,6.8256499999999996,1.7527083523281577,1.6269633360085662,1.461092908694264,4.840764597030987
154,6.863729999999999,1.7486371835482202,1.6234904198696136,1.4584637307823083,4.830591334200142
155,6.901800000000001,1.744566014768283,1.6200197031709014,1.455832651801725,4.82041836974091
156,6.9398800000000005,1.7404972664216276,1.616548986472189,1.4532053749583973,4.810251627852214
157,6.97796,1.7364309385082537,1.6130804692137162,1.4505780981150693,4.800089505837039
158,7.01603,1.7323670310281618,1.6096163508357237,1.447952722340369,4.789936104204254
159,7.05411,1.7283079644146337,1.6061522324577313,1.4453292476342963,4.779789444506662
160,7.09218,1.7242488978011052,1.6026903135199788,1.4427076739968512,4.769646885317935
