energy[keV],transmission,transmission_lb,transmission_ub
6.70000,0.0643449,0.0560970,0.0738054
6.80000,0.0721471,0.0632601,0.0822826
6.90000,0.0805816,0.0710473,0.0913953
7.00000,0.0892441,0.0790877,0.100705
7.10000,0.0985340,0.0877537,0.110639
7.20000,0.107976,0.0966034,0.120687
7.30000,0.118005,0.106047,0.131313
7.40000,0.128137,0.115627,0.142001
7.50000,0.138776,0.125728,0.153179
7.60000,0.149504,0.135952,0.164407
7.70000,0.160613,0.146578,0.175991
7.80000,0.171842,0.157357,0.187661
7.90000,0.183277,0.168369,0.199504
8.00000,0.194915,0.179613,0.211521
8.10000,0.206536,0.190873,0.223483
8.20000,0.218500,0.202499,0.235764
8.30000,0.230261,0.213959,0.247804
8.40000,0.242384,0.225802,0.260182
8.50000,0.254348,0.237520,0.272369
8.60000,0.266368,0.249319,0.284582
8.70000,0.278466,0.261223,0.296848
8.80000,0.290275,0.272867,0.308795
8.90000,0.302447,0.284893,0.321082
9.00000,0.314305,0.296633,0.333030
9.10000,0.326138,0.308370,0.344931
9.20000,0.338001,0.320158,0.356839
9.30000,0.349523,0.331627,0.368385
9.40000,0.361236,0.343305,0.380103
9.50000,0.372702,0.354756,0.391556
9.60000,0.383899,0.365955,0.402723
9.70000,0.395288,0.377363,0.414064
9.80000,0.406310,0.388419,0.425025
9.90000,0.417194,0.399351,0.435834
10.0000,0.428104,0.410324,0.446655
10.1000,0.438650,0.420944,0.457101
10.2000,0.449139,0.431519,0.467479
10.3000,0.459558,0.442036,0.477775
10.4000,0.469618,0.452202,0.487705
10.5000,0.479647,0.462347,0.497594
10.6000,0.489560,0.472385,0.507360
10.7000,0.499125,0.482081,0.516772
10.8000,0.508643,0.491738,0.526130
10.9000,0.518058,0.501300,0.535377
11.0000,0.527136,0.510527,0.544285
11.1000,0.536111,0.519657,0.553085
11.2000,0.545039,0.528748,0.561832
11.3000,0.553644,0.537517,0.570255
11.4000,0.562053,0.546092,0.578480
11.5000,0.570511,0.554725,0.586747
11.6000,0.578660,0.563047,0.594706
11.7000,0.586516,0.571075,0.602373
11.8000,0.594501,0.579242,0.610162
11.9000,0.602216,0.587138,0.617682
12.0000,0.609650,0.594751,0.624924
12.1000,0.617048,0.602330,0.632125
12.2000,0.624351,0.609818,0.639231
12.3000,0.631388,0.617036,0.646072
12.4000,0.638199,0.624028,0.652692
12.5000,0.645111,0.631126,0.659406
12.6000,0.651769,0.637967,0.665869
12.7000,0.658186,0.644565,0.672096
12.8000,0.664549,0.651109,0.678267
12.9000,0.670859,0.657601,0.684384
13.0000,0.676939,0.663861,0.690275
13.1000,0.682803,0.669900,0.695954
13.2000,0.688716,0.675993,0.701679
13.3000,0.694479,0.681933,0.707255
13.4000,0.700034,0.687663,0.712629
13.5000,0.705395,0.693193,0.717812
13.6000,0.710864,0.698837,0.723098
